modality,modality_bids,acq,acq_bids,ce,ce_bids,run,run_bids,inv,inv_bids,part,part_bids,rec,rec_bids,MRI_type
3Plane_Loc,3Plane_Loc,i00001,ax,Gad,gad,,,,,,,,,IGNORED
3Plane_Loc,3Plane_Loc,i00013,sag,Gad,gad,,,,,,,,,IGNORED
3Plane_Loc,3Plane_Loc,i00025,cor,Gad,gad,,,,,,,,,IGNORED
AX_REFORMAT,AX_REFORMAT,,,Gad,gad,,,,,,,,,IGNORED
COR_REFORMAT,COR_REFORMAT,,,Gad,gad,,,,,,,,,IGNORED
_Localizers,Localizers,,,,,,,,,,,,,IGNORED
CsT2,T2w,_,ax,,,,,,,,,,,anat
Ax_T2_Propeller,T2w,Ax,ax,Gad,gad,,,,,,,,,anat
mprage+Morpho,MPRAGE_morpho,,,,,,,,,,,,,IGNORED
18_t1_mprage,T1w,_,MPRAGE,,,,,,,,,,,anat
t1_mprage,T1w,_,MPRAGE,,,,,,,,,,,IGNORED
MPRAGE,T1w,_,MPRAGE,Gad,gad,,,,,,,,,anat
Black_Blood,T1w,_,3d,Gd,gad,,,,,,,,,anat
3D_AX_T1,T1w,_,3d,Gad,gad,,,,,,,,,anat
3D_EPI,T2starw,,,Gad,gad,,,,,SWIphase,phase,,,anat
3D_EPI,T2starw,,,Gad,gad,,,,,_,mag,,,anat
3DT2,T2starw,,,,,,,,,_ph,phase,,,anat
3DT2,T2starw,,,,,,,,,_,mag,,,anat
SWI_NEW,T2starw,,,,,,,,,_ph,phase,,,anat
SWI_NEW,T2starw,,,,,,,,,_,mag,,,anat
T1map,T1map,,,Gad,gad,,,,,,,,,anat
NOT_DIAGNOSTIC+MP2RAGE,UNIT1,,,Gad,gad,,,,,,,PSIR,PSIR,anat
NOT_DIAGNOSTIC+MP2RAGE,UNIT1,,,Gad,gad,,,,,,,,,anat
MP2RAGE,MP2RAGE,,,Gad,gad,,,e1,1,_,mag,,,anat
MP2RAGE,MP2RAGE,,,Gad,gad,,,e2,2,_,mag,,,anat
DIR,DIR,,,Gad,gad,,,,,,,ORIG,ORIG,anat
DIR,DIR,,,Gad,gad,,,,,,,,,anat
t2+flair+14,FLAIR,,,,,,,,,,,,,anat
t2+flair,FLAIR,,,,,,,,,,,,,IGNORED
FLAIR,FLAIR,,,Gad,gad,,,,,,,ORIG,ORIG,anat
FLAIR,FLAIR,,,Gad,gad,,,,,,,,,anat
3DFlair,FLAIR,,,,,,,,,,,,,anat
Opt_DTI+Eq_1,sbref,,,,,,,,,,,,,dwi
Opt_DTI,dwi,_,multishell,,,_4_,4,,,,,,,dwi
Opt_DTI,dwi,_,multishell,,,_5_,5,,,,,,,dwi
dDWI,sbref,,,,,,,,,,,,,dwi
